State,Price_Res,Price_Com,Price_Ind
Connecticut,33.05,23.38,19.56
Maine,26.26,17.67,11.54
Massachusetts,29.26,20.64,18.32
New Hampshire,24.93,19.94,15.65
Rhode Island,28.71,22.42,20.45
Vermont,22.46,19.21,11.73
New Jersey,19.32,15.39,12.22
New York,25.05,20.46,9.36
Pennsylvania,17.78,11.03,7.87
Illinois,15.80,12.27,9.36
Indiana,14.82,12.54,7.88
Michigan,20.12,13.97,8.27
Ohio,15.75,10.49,7.01
Wisconsin,17.73,13.10,9.14
Iowa,14.05,10.67,7.83
Kansas,14.69,11.82,7.81
Minnesota,16.45,12.80,9.38
Missouri,14.62,11.68,8.75
Nebraska,12.91,8.78,7.87
North Dakota,12.85,6.83,7.24
South Dakota,13.84,10.68,8.30
Delaware,16.80,12.15,8.25
District of Columbia,18.03,16.57,3.84
Florida,14.01,10.58,8.32
Georgia,13.63,10.46,7.13
Maryland,18.36,13.20,10.40
North Carolina,14.87,10.89,8.09
South Carolina,14.79,10.84,7.17
Virginia,15.24,8.52,8.96
West Virginia,15.84,12.26,8.06
Alabama,15.45,13.56,7.18
Kentucky,12.41,11.19,6.36
Mississippi,13.15,12.08,6.80
Tennessee,12.42,12.21,6.36
Arkansas,12.83,10.13,6.83
Louisiana,12.04,10.50,5.67
Oklahoma,13.81,10.09,6.48
Texas,15.06,8.65,6.10
Arizona,14.91,12.31,7.93
Colorado,15.57,12.49,9.07
Idaho,12.36,9.52,8.53
Montana,13.45,12.16,7.05
Nevada,14.03,10.13,9.65
New Mexico,15.04,10.91,5.61
Utah,13.60,11.35,9.08
Wyoming,13.91,9.79,8.27
California,31.83,29.14,24.04
Oregon,15.29,10.11,8.05
Washington,12.39,9.75,6.65
